player_id,alliance_tag,account_creation_date,total_power_level,resources_transferred_out,days_since_last_login,integrity_flag
User1866352,[FARM],2026-06-25,620,1995409,20,High Probability Bot
User1550471,[FARM],2026-06-23,122,1986043,12,High Probability Bot
User3232936,[FARM],2026-06-27,889,1976559,16,High Probability Bot
User4120800,[FARM],2026-06-24,440,1973437,14,High Probability Bot
User3195942,[FARM],2026-06-26,574,1965837,20,High Probability Bot
User2734182,[FARM],2026-06-27,367,1962199,25,High Probability Bot
User3228615,[FARM],2026-06-24,293,1961109,20,High Probability Bot
User6597960,[FARM],2026-06-28,600,1958073,8,High Probability Bot
User6926569,[FARM],2026-06-24,541,1956100,8,High Probability Bot
User8424763,[FARM],2026-06-23,332,1946746,22,High Probability Bot
User4601941,[FARM],2026-06-24,132,1944865,20,High Probability Bot
User1308222,[FARM],2026-06-27,361,1940738,25,High Probability Bot
User2786482,[FARM],2026-06-24,435,1936720,17,High Probability Bot
User5193475,[FARM],2026-06-22,579,1934229,15,High Probability Bot
User2777577,[FARM],2026-06-22,618,1928896,10,High Probability Bot
User5764108,[FARM],2026-06-24,164,1925742,15,High Probability Bot
User8900558,[FARM],2026-06-28,622,1913444,10,High Probability Bot
User7199267,[FARM],2026-06-27,491,1910192,15,High Probability Bot
User3926816,[FARM],2026-06-22,548,1904122,23,High Probability Bot
User3854354,[FARM],2026-06-24,671,1900671,15,High Probability Bot
User2953135,[FARM],2026-06-21,519,1895681,20,High Probability Bot
User4836186,[FARM],2026-06-22,674,1892863,17,High Probability Bot
User8707178,[FARM],2026-06-26,481,1891370,19,High Probability Bot
User7063421,[FARM],2026-06-23,892,1886613,22,High Probability Bot
User4675966,[FARM],2026-06-26,448,1882106,25,High Probability Bot
User9360595,[FARM],2026-06-26,722,1879978,19,High Probability Bot
User5124209,[FARM],2026-06-22,311,1870425,17,High Probability Bot
User4268208,[FARM],2026-06-21,146,1868056,23,High Probability Bot
User3577450,[FARM],2026-06-21,855,1865050,24,High Probability Bot
