player_id,alliance_tag,account_creation_date,total_power_level,resources_transferred_out,days_since_last_login
DarkWarlord2285,[NOVA],2026-06-21,56389,48994,2
RadiantMage2497,[FARM],2026-06-16,403355,5176,5
ShadowWarlord2431,[KING],2026-06-12,700982,134994,1
CrimsonWarlord7253,[VOID],2026-06-24,700989,64939,3
IronHunter1627,[FARM],2026-06-20,564361,113388,2
CrimsonViper1402,[BETA],2026-06-10,211425,13964,3
VoidMage1334,[NOVA],2026-06-23,118791,61966,3
StormBeast307,[KING],2026-06-17,677641,129391,4
ToxicPhantom8462,[FARM],2026-06-06,462002,14966,4
DarkSniper1819,[BETA],2026-06-07,121780,147370,1
GhostWarlord1905,[WAR],2026-06-08,597434,111546,1
User9452934,[FARM],2026-06-21,141,1204878,21
IronBeast3038,[VOID],2026-06-08,196522,19255,5
ToxicPhantom8967,[BETA],2026-06-20,91753,141872,4
StormHunter7556,[NOVA],2026-06-23,633894,3018,2
IronHunter6186,[FARM],2026-06-16,754455,126566,4
ToxicRogue2513,[BETA],2026-06-09,793352,86753,1
IronPhantom248,[NOVA],2026-06-15,834066,28600,3
DarkKnight9807,[VOID],2026-06-17,183618,117772,5
ToxicBeast5931,[APEX],2026-06-21,642895,106496,1
IronViper9466,[NULL],2026-06-08,823596,91245,5
FrostPhantom9397,[APEX],2026-06-06,518888,117207,4
ShadowSniper2734,[WAR],2026-06-10,642263,95317,2
VoidGoblin6214,[BETA],2026-06-22,617400,27058,3
DarkPhantom6536,[APEX],2026-06-08,109630,110387,4
IronRogue6465,[FARM],2026-06-13,696097,895,1
ToxicWarlord8730,[BETA],2026-06-13,550402,122809,4
ShadowKnight429,[NULL],2026-06-12,478014,85461,4
DarkSniper9261,[WAR],2026-06-16,83919,45808,2
IronRogue7336,[BETA],2026-06-23,28344,94552,2
VoidSniper9114,[NOVA],2026-06-21,503900,140120,4
CrimsonGoblin6533,[APEX],2026-06-24,832621,15460,0
StormHunter4477,[VOID],2026-06-18,188176,30343,3
ToxicMage6933,[KING],2026-06-11,363099,250,1
IronRogue7502,[APEX],2026-06-17,486861,48604,1
CrimsonSniper1967,[KING],2026-06-06,86949,37031,5
GhostBeast1038,[APEX],2026-06-12,456718,72390,1
ToxicGoblin7996,[NOVA],2026-06-15,843576,56370,3
VoidGoblin8883,[VOID],2026-06-11,778754,86573,5
